n,base_rate,brier,baseline_brier,brier_skill,ece,max_ce,auc,logloss,baseline_logloss,tier,train_brier,name,cardinality
308975,0.6447447204466381,0.1629979958562439,0.2290489659028246,0.2883705228104074,0.014023315853400251,0.037067836953112665,0.8154878013541362,0.4871188533798113,0.6506393028223089,p7_tier3,0.14865836797073784,"Reference: tier 3, game state only",
308975,0.6447447204466381,0.16406330455873352,0.2290489659028246,0.28371951424422337,0.007166444507799857,0.024642142504119058,0.8118862519067109,0.4916620611897459,0.6506393028223089,p7_tier2,0.16293319799833209,"Reference: tier 2, generic linear baseline",
308975,0.6447447204466381,0.1622270843736183,0.2290489659028246,0.2917362288269657,0.02301027568469728,0.07741750444170067,0.8215742643744344,0.4899059251753262,0.6506393028223089,p7_opp_bins5,0.1397982125760332,"Opponent differential, ~5 distinct values",5.0
308975,0.6447447204466381,0.16951020777917283,0.2290489659028246,0.2599389955286304,0.042766999128464364,0.13268576124087558,0.80961119523745,0.5201148602334686,0.6506393028223089,p7_opp_bins20,0.12899316578867184,"Opponent differential, ~20 distinct values",20.0
308975,0.6447447204466381,0.18786646780863017,0.2290489659028246,0.17979779097394544,0.0904178039478386,0.23410300876831272,0.7792443763534207,0.577538427707088,0.6506393028223089,p7_opp_bins100,0.10377850547261927,"Opponent differential, ~88 distinct values",88.0
308975,0.6447447204466381,0.1997858199084694,0.2290489659028246,0.12775934560110724,0.11068761109380987,0.24532598444595907,0.7675502185484345,0.6178017193628,0.6506393028223089,p7_opp_raw,0.06766715215224943,"Opponent differential, raw (~608 distinct values)",607.0
308975,0.6447447204466381,0.16641406802014327,0.2290489659028246,0.27345636613463054,0.022033248618443975,0.06713432946014286,0.8074093225796674,0.4966935087621717,0.6506393028223089,p7_rand_bins5,0.14313041455150388,"RANDOM per-game value, 5 distinct values",5.0
308975,0.6447447204466381,0.17452447835973742,0.2290489659028246,0.238047298437573,0.049371710483589876,0.09531193297658203,0.7912452747776118,0.5238412865059291,0.6506393028223089,p7_rand_bins20,0.13180820594732331,"RANDOM per-game value, 20 distinct values",20.0
308975,0.6447447204466381,0.19668850463285806,0.2290489659028246,0.14128184836990554,0.10894088031066462,0.25021106761518785,0.7631540479304038,0.5938457320264577,0.6506393028223089,p7_rand_bins100,0.09750273829341995,"RANDOM per-game value, 100 distinct values",100.0
308975,0.6447447204466381,0.2010283589197367,0.2290489659028246,0.12233457100599099,0.1097262165217771,0.2798625219203645,0.7579185204918422,0.603248447970391,0.6506393028223089,p7_rand_raw,0.06924737614134313,"RANDOM per-game value, one per game",636.0
308975,0.6447447204466381,0.17108675690540537,0.2290489659028246,0.25305597328917884,0.04789816692117374,0.12381894862294579,0.8025884126781266,0.5080233389721382,0.6506393028223089,p7_lineup_bins5,0.13996855635570732,"Lineup strength difference, 5 bins from training quantiles",
308975,0.6447447204466381,0.16996106667534924,0.2290489659028246,0.2579706002800456,0.03204243491121134,0.07947301959105879,0.8017969432773784,0.5062347983269363,0.6506393028223089,p7_linear_lineup,0.15773176442436762,LINEAR baseline plus lineup strength difference,
308975,0.6447447204466381,0.15983553949592813,0.2290489659028246,0.3021774236529873,0.00687561004492123,0.033482179827890424,0.8243107227495676,0.4812390554592828,0.6506393028223089,p7_linear_opp,0.15832838203672336,LINEAR baseline plus opponent differential,
308975,0.6447447204466381,0.15995353708884671,0.2290489659028246,0.3016622604761814,0.007737789421047501,0.026729332277683093,0.8242536985699718,0.48147716932930645,0.6506393028223089,p7_linear_strength,0.15905697323229484,LINEAR baseline plus Celtics-minus-opponent differential,
308975,0.6447447204466381,0.16468679215582288,0.2290489659028246,0.28099744302843854,0.00839256671384539,0.03710845585216427,0.8104261611527974,0.49317590231132435,0.6506393028223089,p7_linear_random,0.16276478680425663,LINEAR baseline plus a RANDOM per-game value,
